index,mu,prob,image_path
1,0.98,0.9976769089698792,selected_images/2022021016522013-dry-asphalt-smooth.jpg
2,0.98,0.8107286691665649,selected_images/2022021016524019-dry-asphalt-smooth.jpg
3,0.98,0.9939602613449097,selected_images/202202101653048-dry-asphalt-smooth.jpg
4,0.98,0.985145092010498,selected_images/2022021016531211-dry-asphalt-smooth.jpg
5,0.98,0.9981023669242859,selected_images/2022021016533314-dry-asphalt-smooth.jpg
6,0.98,0.8905042409896851,selected_images/202202101653392-dry-asphalt-smooth.jpg
7,0.98,0.9969780445098877,selected_images/2022021016534014-dry-asphalt-smooth.jpg
8,0.98,0.9812281727790833,selected_images/202202101654019-dry-asphalt-smooth.jpg
9,0.98,0.9922633171081543,selected_images/202202101654218-dry-asphalt-smooth.jpg
10,0.98,0.940252959728241,selected_images/202202101654233-dry-asphalt-smooth.jpg
11,0.98,0.9896519780158997,selected_images/202202101654236-dry-asphalt-smooth.jpg
12,0.98,0.996864378452301,selected_images/202202101654319-dry-asphalt-smooth.jpg
13,0.98,0.8999794125556946,selected_images/202202101655483-dry-asphalt-smooth.jpg
14,0.98,0.9948986172676086,selected_images/2022021016555914-dry-asphalt-smooth.jpg
15,0.98,0.973136305809021,selected_images/202202101656017-dry-asphalt-smooth.jpg
16,0.98,0.88100665807724,selected_images/2022021016560519-dry-asphalt-smooth.jpg
17,0.98,0.9805025458335876,selected_images/2022021016572815-dry-asphalt-smooth.jpg
18,0.98,0.9859890937805176,selected_images/2022021016572913-dry-asphalt-smooth.jpg
19,0.98,0.5903177857398987,selected_images/2022021017001910-dry-asphalt-smooth.jpg
20,0.98,0.9268736839294434,selected_images/2022021017003915-dry-asphalt-smooth.jpg
21,0.98,0.9877505898475647,selected_images/2022021017004010-dry-asphalt-smooth.jpg
22,0.98,0.8909710049629211,selected_images/2022021017034411-dry-asphalt-smooth.jpg
23,0.98,0.989779531955719,selected_images/2022021017043214-dry-asphalt-smooth.jpg
24,0.98,0.9807311296463013,selected_images/202202101706136-dry-asphalt-smooth.jpg
25,0.98,0.9763938784599304,selected_images/202202101706294-dry-asphalt-smooth.jpg
26,0.98,0.9306889176368713,selected_images/202202101707104-dry-asphalt-smooth.jpg
27,0.98,0.8566749095916748,selected_images/202202101707594-dry-asphalt-smooth.jpg
28,0.98,0.9368481636047363,selected_images/202202101708033-dry-asphalt-smooth.jpg
29,0.98,0.9852511882781982,selected_images/2022021017080710-dry-asphalt-smooth.jpg
30,0.98,0.7131080031394958,selected_images/202202101709249-dry-asphalt-smooth.jpg
31,0.98,0.8964791297912598,selected_images/2022021017093613-dry-asphalt-smooth.jpg
32,0.98,0.9540430903434753,selected_images/202202101710064-dry-asphalt-smooth.jpg
33,0.98,0.8996097445487976,selected_images/202202101710133-dry-asphalt-smooth.jpg
34,1.0,0.904971718788147,selected_images/2022021017130212-dry-concrete-smooth.jpg
35,0.98,0.5625703930854797,selected_images/202202101713127-dry-concrete-smooth.jpg
36,1.0,0.98675936460495,selected_images/2022021017144010-dry-concrete-smooth.jpg
37,0.98,0.7768945693969727,selected_images/202202101714426-dry-concrete-smooth.jpg
38,1.0,0.8975525498390198,selected_images/2022021017144818-dry-concrete-smooth.jpg
39,1.0,0.9623451828956604,selected_images/202202101714487-dry-concrete-smooth.jpg
40,1.0,0.708358883857727,selected_images/202202101714586-dry-concrete-smooth.jpg
41,1.0,0.9650498628616333,selected_images/202202101715408-dry-concrete-smooth.jpg
42,0.85,0.7764458060264587,selected_images/202202101717387-dry-concrete-smooth.jpg
43,1.0,0.5202193260192871,selected_images/202202101717588-dry-concrete-smooth.jpg
44,1.0,0.9864267706871033,selected_images/2022021017180813-dry-concrete-smooth.jpg
45,1.0,0.9926369190216064,selected_images/2022021017184217-dry-concrete-smooth.jpg
46,1.0,0.9833526611328125,selected_images/2022021017185316-dry-concrete-smooth.jpg
47,1.0,0.9717457890510559,selected_images/202202101718543-dry-concrete-smooth.jpg
48,1.0,0.9879251718521118,selected_images/2022021017191415-dry-concrete-smooth.jpg
49,0.98,0.7154537439346313,selected_images/2022021017192010-dry-concrete-smooth.jpg
50,1.0,0.6444141864776611,selected_images/202202101719226-dry-concrete-smooth.jpg
51,1.0,0.9831742644309998,selected_images/202202101719358-dry-concrete-smooth.jpg
52,1.0,0.9894790053367615,selected_images/2022021017200613-dry-concrete-smooth.jpg
53,1.0,0.989008367061615,selected_images/2022021017200814-dry-concrete-smooth.jpg
54,1.0,0.9909541010856628,selected_images/2022021017201818-dry-concrete-smooth.jpg
55,1.0,0.9689537882804871,selected_images/2022021017202617-dry-concrete-smooth.jpg
56,0.98,0.7461439371109009,selected_images/2022021017203516-dry-concrete-smooth.jpg
57,1.0,0.8462079167366028,selected_images/202202101720393-dry-concrete-smooth.jpg
58,1.0,0.9877436757087708,selected_images/2022021017204513-dry-concrete-smooth.jpg
59,1.0,0.7913898229598999,selected_images/202202101720557-dry-concrete-smooth.jpg
60,1.0,0.9111161231994629,selected_images/202202101720596-dry-concrete-smooth.jpg
61,0.98,0.9633896946907043,selected_images/2022021017243815-dry-asphalt-smooth.jpg
62,0.98,0.6263334155082703,selected_images/202202101726132-dry-asphalt-smooth.jpg
63,0.98,0.9431652426719666,selected_images/202202101726471-dry-asphalt-smooth.jpg
64,0.98,0.9665722250938416,selected_images/2022021017271415-dry-asphalt-smooth.jpg
65,0.98,0.8346856832504272,selected_images/2022021017271418-dry-asphalt-smooth.jpg
66,0.98,0.919120728969574,selected_images/2022021017271419-dry-asphalt-smooth.jpg
